dependencies,display_names,file,loader_range,mc_ranges,mod_ids,sha1,versions,modrinth_project_id,modrinth_slug,modrinth_title,mr_1_20_1_forge,mr_latest_1_20_1_version,mr_latest_1_20_1_version_id,mr_latest_1_20_1_url
,Extreme Sound Muffler,extremesoundmuffler-3.30_forge-1.18.2.jar,"[34,)",,extremesoundmuffler,89d208986e891550e2bade5eab3b8bd628e100f0,${file.jarVersion},5IIKsxiL,extreme_sound_muffler,Extreme sound muffler,true,3.51-1.20.1,drxm9tKI,https://cdn.modrinth.com/data/5IIKsxiL/versions/drxm9tKI/ExtremeSoundMuffler-3.51-forge-1.20.1.jar
,Forgiving Void,forgivingvoid-forge-1.18.1-6.0.1.jar,"[38,)",,forgivingvoid,463e185639880428d6b2bdf0ee0815cf3b11e42d,${file.jarVersion},1vkzEZjE,forgiving-void,Forgiving Void,true,10.0.3+forge-1.20.1,LTxlZnFp,https://cdn.modrinth.com/data/1vkzEZjE/versions/LTxlZnFp/forgivingvoid-forge-1.20.1-10.0.3.jar
,Framed Compacting Drawers,framedcompactdrawers-1.18-4.1.0.jar,"[40,)",,framedcompactdrawers,ad4535f25bf512ef42e2b0f306b5d9e3f08c69ca,${file.jarVersion},,,,false,,,
"forge@[40.1.67,);minecraft@[1.18.2,);architectury@[4.11.89,);ftblibrary@[1802.3.8-build.161,);ftbteams@[1802.2.10-build.90,);ftbranks@[1802.1.9-build.49,);kubejs@[1802.5.5-build.550,)",FTB Chunks,ftb-chunks-forge-1802.3.17-build.265.jar,"[40,)","[1.18.2,)",ftbchunks;forge;minecraft;architectury;ftblibrary;ftbteams;ftbranks;kubejs,3b55d6a394a1b60358adc3a80763a544d15f0ba5,1802.3.17-build.265,,,,false,,,
"forge@[39,);minecraft@[1.18.2,);architectury@[3.1.45,)",FTB Library,ftb-library-forge-1802.3.11-build.177.jar,"[39,)","[1.18.2,)",ftblibrary;forge;minecraft;architectury,5fe454cf0ed17b05f0f18c4984d31f20cbb4b23b,1802.3.11-build.177,,,,false,,,
"forge@[39,);minecraft@[1.18.2,);architectury@[3.2.52,);ftblibrary@[1802.3.9-build.165,);ftbteams@[1801.2.4-build.43,);itemfilters@[1802.2.8-build.47,);kubejs@[1802.5.5,);jei@[9.7.0,)",FTB Quests,ftb-quests-forge-1802.3.14-build.191.jar,"[39,)","[1.18.2,)",ftbquests;forge;minecraft;architectury;ftblibrary;ftbteams;itemfilters;kubejs;jei,885a28c4a960e6a6a9622f7b14f95b1c8311efb1,1802.3.14-build.191,,,,false,,,
"forge@[40.1.0,);minecraft@[1.18.2,);architectury@[3.2.52,);ftblibrary@[1801.3.5-build.98,)",FTB Teams,ftb-teams-forge-1802.2.11-build.107.jar,"[39,)","[1.18.2,)",ftbteams;forge;minecraft;architectury;ftblibrary,d5878dcd3609542c729b2c2293e7f65f7a58c5f6,1802.2.11-build.107,,,,false,,,
"forge@[39,);minecraft@[1.18.2,);architectury@[3.2.52,);ftblibrary@[1801.3.5-build.99,)",FTB Ultimine,ftb-ultimine-forge-1802.3.3-build.70.jar,"[39,)","[1.18.2,)",ftbultimine;forge;minecraft;architectury;ftblibrary,bb78506165481bf964c5bdb0590cd14e5e4a1cc3,1802.3.3-build.70,,,,false,,,
"forge@[38,);minecraft@[1.18,);architectury@[3.3.7,)",FTB Backups 2,ftbbackups2-forge-1.18.2-1.0.19.jar,"[38,)","[1.18,)",ftbbackups2;forge;minecraft;architectury,7e1557903f8dc0edb044fe95a6940a64ccb97d31,1.0.19,,,,false,,,
,FTB Quests Localizer,ftbquestlocalizer-1.18.2-forge-3.2.3.jar,"[40,)",,ftbquestlocalizer,271afd9e09f1b4f6ce6c9b6bc24974e48255b3c2,3.2.3,,,,false,,,
,Fusion,fusion-1.0.5-forge-mc1.18.jar,"[40,)",,fusion,04d22eb06337d45a8ced07f2eb0c171924d55794,1.0.5,p19vrgc2,fusion-connected-textures,Fusion (Connected Textures),true,1.3.5-forge-mc1.20.1,GDl3BKRy,https://cdn.modrinth.com/data/p19vrgc2/versions/GDl3BKRy/fusion-1.3.5-forge-mc1.20.1.jar
,Gravestone Mod,gravestone-1.18.2-1.0.1.jar,"[40,)",,gravestone,147bd13c2d49c5c50464767dcb16833262eae4ee,1.18.2-1.0.1,,,,false,,,
"titanium@[3.5.8,);forge@[37.0.1,);jei@[9.7.0,)",Industrial Foregoing,industrial-foregoing-1.18.2-3.3.1.6-10.jar,"[37,)",,industrialforegoing;titanium;forge;jei,f4909c17d370922d4a4af5a286b82c69d501ff4d,${file.jarVersion},lWxpUd04,industrial-foregoing,Industrial Foregoing,true,1.20.1-3.5.22,5XXYqEMK,https://cdn.modrinth.com/data/lWxpUd04/versions/5XXYqEMK/industrial-foregoing-1.20.1-3.5.22.jar
,ironchest,ironchest-1.18.2-13.2.11.jar,"[40.0,)",,,cff2b97673a833704d8f28ea46dbc8d6eaac92a3,1.18.2-13.2.11,P3iIrPH3,iron-chests,Iron Chests,true,1.20.1-14.4.4,YjbOtYwN,https://cdn.modrinth.com/data/P3iIrPH3/versions/YjbOtYwN/ironchest-1.20.1-14.4.4.jar
"forge@[39,);minecraft@[1.18.1,);architectury@[3.2.52,)",Item Filters,item-filters-forge-1802.2.8-build.50.jar,"[39,)","[1.18.1,)",itemfilters;forge;minecraft;architectury,508eb1f51f4941b2743d930836d35794783bf0b0,1802.2.8-build.50,,,,false,,,
,Item Collectors,itemcollectors-1.1.8-forge-mc1.18.jar,"[38,)",,itemcollectors,8ee8b64f70c8c74143e71f68bc349b13c7a6605c,1.1.8,y9vDr4Th,item-collectors,Item Collectors,true,1.1.12-forge-mc1.20.2,VxDl7akr,https://cdn.modrinth.com/data/y9vDr4Th/versions/VxDl7akr/itemcollectors-1.1.12-forge-mc1.20.2.jar
,Just Enough Items,jei-1.18.2-forge-10.2.1.1005.jar,"[40,)",,jei,95ac179f935376235eb35fa6a854b5051590dcfe,10.2.1.1005,,,,false,,,
,KleeSlabs,kleeslabs-forge-1.18.2-11.1.1.jar,"[38,)",,kleeslabs,4b661bab00d3e3ad06dd334c281ad9ef70e4d92e,${file.jarVersion},7uh75ruZ,kleeslabs,KleeSlabs,true,15.0.12+forge-1.20.1,oEVhOfUM,https://cdn.modrinth.com/data/7uh75ruZ/versions/oEVhOfUM/kleeslabs-forge-1.20.1-15.0.12.jar
"kubejs@[1802.5.1-build.331,);create@*",KubeJS Create,kubejs-create-forge-1802.2.4-build.5.jar,"[40,)",,kubejs_create;kubejs;create,d935501423196afaf79c2b493f25eb98b7df1108,1802.2.4-build.5,T38eAZQC,kubejs-create,KubeJS Create,true,2001.3.0-build.8+forge,5vppyenb,https://cdn.modrinth.com/data/T38eAZQC/versions/5vppyenb/kubejs-create-forge-2001.3.0-build.8.jar
"forge@[40.1.0,);rhino@[1802.2.1-build.239,);architectury@[4.7.78,);jei@[1.0.0,);roughlyenoughitems@[8.3.557,)",KubeJS,kubejs-forge-1802.5.5-build.569.jar,"[40,)",,kubejs;forge;rhino;architectury;jei;roughlyenoughitems,ee9bf64beb6ccde483b76147399dd4aae64b631a,1802.5.5-build.569,umyGl7zF,kubejs,KubeJS,true,2001.6.5-build.26+forge,hVR2xUSr,https://cdn.modrinth.com/data/umyGl7zF/versions/hVR2xUSr/kubejs-forge-2001.6.5-build.26.jar
"kubejs@[1802.5.1-build.331,);immersiveengineering@*",KubeJS Immersive Engineering,kubejs-immersive-engineering-1802.2.1-build.35.jar,"[40,)",,kubejs_immersive_engineering;kubejs;immersiveengineering,a8050aa3d6af28ae1035286730c2bfad1440fe35,1802.2.1-build.35,MXpukMRu,kubejs-immersive-engineering,KubeJS Immersive Engineering,false,,,
"kubejs@[1802.5.2-build.407,);mekanism@[10.2.0,)",KubeJS Mekanism,kubejs-mekanism-1802.1.3-build.8.jar,"[40,)",,kubejs_mekanism;kubejs;mekanism,7d42f41b7c3255d1ce9e5dc3aa205cac3d344029,1802.1.3-build.8,sY2Fy24K,kubejs-mekanism,KubeJS Mekanism,false,,,
"kubejs@[1802.5.2-build.415,);thermal_expansion@[1.3.0,)",KubeJS Thermal,kubejs-thermal-1802.1.5-build.16.jar,"[32,)",,kubejs_thermal;kubejs;thermal_expansion,879a5cb16b6a3a19bee555c849abc33ba8bd18c8,1802.1.5-build.16,taN3HInZ,kubejs-thermal,KubeJS Thermal,true,2001.1.10-build.5,rCUiMkUM,https://cdn.modrinth.com/data/taN3HInZ/versions/rCUiMkUM/kubejs-thermal-2001.1.10-build.5.jar
,LaserIO,laserio-1.4.5.jar,"[40,)",,laserio,5dccf69e2b3bf3a19b0e19212d97af17508e1329,${file.jarVersion},,,,false,,,
"forge@[40.0,41.0);minecraft@[1.18,1.19);ae2@[11.6.2,12.0);jei@[9.7.2.259,11.0);crafttweaker@[9.1,10.0);kubejs@[1802.5,1810.0)",Lazier AE2,lazierae2-1.18.2-3.1.5.jar,"[40.0,41.0)","[1.18,1.19)",lazierae2;forge;minecraft;ae2;jei;crafttweaker;kubejs,7220aff55a58fc35dd5b611a252ffc8bef52aecf,3.1.5,7mmL0PW9,lazierae2,Lazier AE2,false,,,
"forge@[40,);minecraft@[1.18.2,1.19)",Lemon Lib,lemonlib-2.1.1.jar,"[36,)","[1.18.2,1.19)",lemonlib;forge;minecraft,f15ae7dd54b3e870810d3193d63f13ce96f8577c,2.1.1,Vwfg6bMJ,lemonlib,LemonLib,true,4.0.1,MR7RGxIy,https://cdn.modrinth.com/data/Vwfg6bMJ/versions/MR7RGxIy/lemonlib-4.0.1.jar
,McJtyLib,mcjtylib-1.18-6.0.20.jar,"[39,)",,mcjtylib,c776425129166796116e3ce8b39102b839db7a3c,${file.jarVersion},1Zu0uTEE,mcjtylib,McJtyLib,true,1.20-8.0.8,GIASnLXz,https://cdn.modrinth.com/data/1Zu0uTEE/versions/GIASnLXz/mcjtylib-1.20-8.0.8.jar
,Mini Utilities,miniutilities-2.0.1.jar,"[40,)",,miniutilities,adce24b9813141fbc27343a970593376baf71e7a,2.0.1,,,,false,,,
,Mod Name Tooltip,modnametooltip-1.18.1-1.18.0.jar,"[39,)",,modnametooltip,8886987e43b4549edced071b0b10a8645a42b5a0,1.18.0,,,,false,,,
,Modular Routers,modular-routers-1.18.2-9.1.1-93.jar,"[40,)",,modularrouters,0cdd1b2c14cda67e634c652b331bea15eea3cd2d,${file.jarVersion},EuTS81Z3,modular-routers,Modular Routers,true,12.1.1,3QDNtJUd,https://cdn.modrinth.com/data/EuTS81Z3/versions/3QDNtJUd/modular-routers-12.1.1%2Bmc1.20.1.jar
,MoreOverlays,moreoverlays-1.20.11-mc1.18.2.jar,"[39,)",,,e62ce2394e4191416eca0086f4290aa8ee9e2812,1.20.11-mc1.18.2,Thy5Pqut,more-overlays-updated,More Overlays Updated,true,1.22.7-mc1.20.2,xpC2kCRg,https://cdn.modrinth.com/data/Thy5Pqut/versions/xpC2kCRg/moreoverlays-1.22.7-mc1.20.2.jar
,OnlineDetectorForge 1.18.2,online_detector-1.18.2-2.1.1.jar,"[40,)",,,9c7591afe14980800019e89997b8a5ad7a44304f,1.18.2-2.1.1,,,,false,,,
,Pipez,pipez-1.18.2-1.1.5.jar,"[40,)",,pipez,682ec5966f21786ebbda23138fb72aa5d86a503f,1.18.2-1.1.5,,,,false,,,
"forge@[38,);minecraft@[1.18,);architectury@[3.6.15,)",PolyLib,polylib-forge-1801.0.2-build.13.jar,"[38,)","[1.18,)",polylib;forge;minecraft;architectury,26e46187bbc454950d632fc8a862db6c16046924,1801.0.2-build.13,6lvkzFFj,polylib,PolyLib,true,2000.0.3-build.143,boXcy1fH,https://cdn.modrinth.com/data/6lvkzFFj/versions/boXcy1fH/polylib-forge-2000.0.3-build.143.jar
,Polymorph,polymorph-forge-1.18.2-0.49.jar,"[40,)",,polymorph,6712291d0bc6e5c123e3fc8742d0ea12430c22d3,1.18.2-0.49,tagwiZkJ,polymorph,Polymorph,true,0.49.10+1.20.1,UZBKtFyR,https://cdn.modrinth.com/data/tagwiZkJ/versions/UZBKtFyR/polymorph-forge-0.49.10%2B1.20.1.jar
"forge@[40,);minecraft@[1.18.2,);architectury@[4.1.39,);kubejs@[1802.5.5-build.545,)",ProbeJS,probejs-4.0.0-fix4-forge.jar,"[40,)","[1.18.2,)",probejs;forge;minecraft;architectury;kubejs,73d6a511b9cc041b16b87f14651c83ebac54e839,4.0.0-fix4,,,,false,,,
,Quests Additions,questsadditions-1.18.2-1.4.2.jar,"[40,)",,questsadditions,8de3e83d0b3606e95cdbc8d47a4a4713d146fd98,${file.jarVersion},,,,false,,,
"minecraft@[1.18.2];refinedstorage@[1.10.2,)",RebornStorage,rebornstorage-1.18.2-4.0.12.jar,"[40,]",[1.18.2],rebornstorage;minecraft;refinedstorage,373aabe38b52cdc549b6277d3e5ecb67d936175e,${file.jarVersion},NwazYrVH,rebornstorage,Reborn Storage,true,5.0.7,ArcZUHSv,https://cdn.modrinth.com/data/NwazYrVH/versions/ArcZUHSv/rebornstorage-1.20.1-5.0.7.jar
,Rechiseled,rechiseled-1.1.2-forge-mc1.18.jar,"[38,)",,rechiseled,c7aabfd91e3f3ac316b37b5356fb0953437efc22,1.1.2,B0g2vT6l,rechiseled,Rechiseled,true,1.2.5-forge-mc1.20.1,yM2eLjQ4,https://cdn.modrinth.com/data/B0g2vT6l/versions/yM2eLjQ4/rechiseled-1.2.5-forge-mc1.20.1.jar
"forge@[40.1,);jei@[9.7.1,)",Refined Storage,refinedstorage-1.10.5.jar,"[40,)",,refinedstorage;forge;jei,071f68923a01a2f8533b1070d540d8e7a4f480df,1.10.5,KDvYkUg3,refined-storage,Refined Storage,true,1.12.4,ZITLFjjf,https://cdn.modrinth.com/data/KDvYkUg3/versions/ZITLFjjf/refinedstorage-1.12.4.jar
"refinedstorage@[1.10.2,)",Refined Storage Addons,refinedstorageaddons-0.8.2.jar,"[40,)",,refinedstorageaddons;refinedstorage,bb3018f9e0701248cec2acd3b81b3bc0669f1fe4,0.8.2,Z4Z5ccuT,refined-storage-addons,Refined Storage Addons,true,0.10.0,tdH61AWD,https://cdn.modrinth.com/data/Z4Z5ccuT/versions/tdH61AWD/refinedstorageaddons-0.10.0.jar
,RFToolsBase,rftoolsbase-1.18-3.0.12.jar,"[39,)",,rftoolsbase,9ad969667675be81391a2f06eb05b7fe7b68800a,${file.jarVersion},,,,false,,,
,RFToolsBuilder,rftoolsbuilder-1.18-4.1.3.jar,"[39,)",,rftoolsbuilder,696c43ca6239d848bfd30587c3577b2071fef627,${file.jarVersion},,,,false,,,
,RFToolsControl,rftoolscontrol-1.18-5.0.10.jar,"[39,)",,rftoolscontrol,48a02680643542f890ac5d588d0b9634e5b31380,${file.jarVersion},,,,false,,,
,RFToolsPower,rftoolspower-1.18-4.0.9.jar,"[39,)",,rftoolspower,a340aa42bb2e4e92dda4ef2e3f7e45c9a921ed9d,${file.jarVersion},YWbLuPa1,rftools-power,RFTools Power,true,1.20-6.0.3,CIKWSCOD,https://cdn.modrinth.com/data/YWbLuPa1/versions/CIKWSCOD/rftoolspower-1.20-6.0.3.jar
,RFToolsStorage,rftoolsstorage-1.18-3.0.12.jar,"[39,)",,rftoolsstorage,68f6a1e044e91261c3d383819ba3d3006e08e550,${file.jarVersion},tx4M6qRg,rftools-storage,RFTools Storage,true,1.20-5.0.4,n9xHsnLa,https://cdn.modrinth.com/data/tx4M6qRg/versions/n9xHsnLa/rftoolsstorage-1.20-5.0.4.jar
,RFToolsUtility,rftoolsutility-1.18-4.0.23.jar,"[39,)",,rftoolsutility,9bdc9ad4fa7bf86b97aadf3d8eda3324d1846286,${file.jarVersion},,,,false,,,
"forge@[38.0.0,);minecraft@[1.18,)",Rhino,rhino-forge-1802.2.1-build.255.jar,"[38,)","[1.18,)",rhino;forge;minecraft,75416af83d41e260a0d5a1e9789ba1914ac0bd1b,1802.2.1-build.255,sk9knFPE,rhino,Rhino,true,2001.2.3-build.10+forge,uNALdylI,https://cdn.modrinth.com/data/sk9knFPE/versions/uNALdylI/rhino-forge-2001.2.3-build.10.jar
,RSRequestify,rsrequestify-2.2.0.jar,"[28,)",,rsrequestify,bb5a5ff4e85dca771cc2011dc4cbbd5ae912ea3a,${file.jarVersion},dSxaHfLO,rs-requestify,Refined Storage: Requestify,true,2.3.3,Eze5cpB3,https://cdn.modrinth.com/data/dSxaHfLO/versions/Eze5cpB3/rsrequestify-1.20.1-2.3.3.jar
,Shutup Experimental Settings!,shutupexperimentalsettings-1.0.5.jar,"[40,)",,shutupexperimentalsettings,ad722f0e86a61310bdcea8975a106f0a4148ccb2,1.0.5,,,,false,,,
,Simple Magnets,simplemagnets-1.1.9-forge-mc1.18.jar,"[38,)",,simplemagnets,ccee3d13b60414359ee51295dddf9aebaf3821bb,1.1.9,YyNQVpOu,simple-magnets,Simple Magnets,true,1.1.12-forge-mc1.20.1,Sg3Svl6F,https://cdn.modrinth.com/data/YyNQVpOu/versions/Sg3Svl6F/simplemagnets-1.1.12-forge-mc1.20.1.jar
"forge@[39.0.0,);sophisticatedcore@[1.18.2-0.5.61,)",Sophisticated Backpacks,sophisticatedbackpacks-1.18.2-3.18.57.888.jar,"[18,)",,sophisticatedbackpacks;forge;sophisticatedcore,e056bbd3fcdcb6ddab5507f5a90561d15252d139,${file.jarVersion},,,,false,,,
"forge@[39.0.0,)",Sophisticated Core,sophisticatedcore-1.18.2-0.5.82.393.jar,"[18,)",,sophisticatedcore;forge,fbd46364a05140bc45d6fbaaf0242c3bc8369f1e,${file.jarVersion},,,,false,,,
"forge@[40,);minecraft@[1.18.2,);architectury@[4.9.83,)",Squat Grow,squatgrow-forge-2.0.2-build.38+mc1.18.2.jar,"[40,)","[1.18.2,)",squatgrow;forge;minecraft;architectury,731bc9e951a28bb5466fcd40d138e90ef9c6011a,2.0.2-build.38+mc1.18.2,,,,false,,,
,SuperMartijn642,supermartijn642configlib-1.1.7-forge-mc1.18.jar,"[38,)",,supermartijn642configlib,3d3ad634e58a71bb190f3ae03008eb0889d566a5,1.1.7,LN9BxssP,supermartijn642s-config-lib,SuperMartijn642's Config Lib,true,1.1.8-forge-mc1.20,ZKor79dR,https://cdn.modrinth.com/data/LN9BxssP/versions/ZKor79dR/supermartijn642configlib-1.1.8-forge-mc1.20.jar
,SuperMartijn642,supermartijn642corelib-1.1.12-forge-mc1.18.jar,"[38,)",,supermartijn642corelib,7d57e04757fff8ce52b725c3d45b3bdf327e981b,1.1.12,rOUBggPv,supermartijn642s-core-lib,SuperMartijn642's Core Lib,true,1.1.21-forge-mc1.20.1,2vPGeoPe,https://cdn.modrinth.com/data/rOUBggPv/versions/2vPGeoPe/supermartijn642corelib-1.1.21-forge-mc1.20.1.jar
,The One Probe,theoneprobe-1.18-5.1.2.jar,"[38,)",,theoneprobe,7589df5448679b4c55d89d2ea397759725d98e90,${file.jarVersion},Eyw0UxEx,the-one-probe,The One Probe,true,1.20.1-10.0.3,r7iv0zP9,https://cdn.modrinth.com/data/Eyw0UxEx/versions/r7iv0zP9/theoneprobe-1.20.1-10.0.3.jar
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];thermal_foundation@[9.2,9.3]",Thermal Cultivation,thermal_cultivation-1.18.2-9.2.0.16.jar,"[34,)","[1.18.2,1.19)",thermal_cultivation;minecraft;forge;cofh_core;thermal;thermal_foundation,443f9476cb43ef228914a98ede0eb33bc2f03f3d,${file.jarVersion},5beJoehw,thermal-cultivation,Thermal Cultivation,true,11.0.1,A2jLUXFB,https://cdn.modrinth.com/data/5beJoehw/versions/A2jLUXFB/thermal_cultivation-1.20.1-11.0.1.24.jar
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];thermal_foundation@[9.2,9.3]",Thermal Expansion,thermal_expansion-1.18.2-9.2.0.20.jar,"[34,)","[1.18.2,1.19)",thermal_expansion;minecraft;forge;cofh_core;thermal;thermal_foundation,ee08840c9b8b2b39570bc4b718e8646bbd82f5ec,${file.jarVersion},hmD6rrUJ,thermal-expansion,Thermal Expansion,true,11.0.1,Ux2Z0ow1,https://cdn.modrinth.com/data/hmD6rrUJ/versions/Ux2Z0ow1/thermal_expansion-1.20.1-11.0.1.29.jar
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];crafttweaker@[7.1.2.414,)",Thermal Series;Thermal Foundation,thermal_foundation-1.18.2-9.2.0.46.jar,"[34,)","[1.18.2,1.19);[1.18.2,1.19)",thermal;minecraft;forge;cofh_core;thermal_foundation;minecraft;forge;cofh_core;thermal;crafttweaker,ca4b23178e72da328d266f6ab3136058ea7f7c35,${file.jarVersion};${file.jarVersion},Xvg6q5Wp,thermal-foundation,Thermal Foundation,true,11.0.6,44ilyZbi,https://cdn.modrinth.com/data/Xvg6q5Wp/versions/44ilyZbi/thermal_foundation-1.20.1-11.0.6.70.jar
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];thermal_foundation@[9.2,9.3]",Thermal Innovation,thermal_innovation-1.18.2-9.2.0.17.jar,"[34,)","[1.18.2,1.19)",thermal_innovation;minecraft;forge;cofh_core;thermal;thermal_foundation,4ba469f7febe08bd3dca5d03f95e0c8872987623,${file.jarVersion},MNgLmnvM,thermal-innovation,Thermal Innovation,true,11.0.1,pzbezfsE,https://cdn.modrinth.com/data/MNgLmnvM/versions/pzbezfsE/thermal_innovation-1.20.1-11.0.1.23.jar
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];thermal_foundation@[9.2,9.3]",Thermal Locomotion,thermal_locomotion-1.18.2-9.2.0.13.jar,"[34,)","[1.18.2,1.19)",thermal_locomotion;minecraft;forge;cofh_core;thermal;thermal_foundation,01ac0432e6f854c596e37c0038ad22c4af2bdfa7,${file.jarVersion},L3eFR8i3,thermal-locomotion,Thermal Locomotion,true,11.0.1,nkfnQtdO,https://cdn.modrinth.com/data/L3eFR8i3/versions/nkfnQtdO/thermal_locomotion-1.20.1-11.0.1.19.jar
,Time In A Bottle,time-in-a-bottle-2.1.0-mc1.18.1.jar,"[38,)",,tiab,75481f0016057a365c458c9a0fcf769362cb7e1b,${file.jarVersion},,,,false,,,
,Tiny Gates,tinygates-2.1.1.jar,"[37,)",,tinygates,d98d7e1b1b498ef800b71b9911fa3e41bb0e3056,${file.jarVersion},,,,false,,,
,Tiny Redstone,tinyredstone-1.18.2-3.2.7.jar,"[37,)",,tinyredstone,d1f214808bbe2006c820709f7604e689cd343bbc,${file.jarVersion},,,,false,,,
"forge@[37,)",Titanium,titanium-1.18.2-3.5.9-43.jar,"[37,)",,titanium;forge,0c527c49251777245bbcb8483c592b77cc0e5483,${file.jarVersion},1Ro7m06l,titanium,Titanium,true,1.20.1-3.8.35,LMqbm4db,https://cdn.modrinth.com/data/1Ro7m06l/versions/LMqbm4db/titanium-1.20.1-3.8.35.jar
,Torchmaster,torchmaster-18.2.1.jar,"[28,)",,torchmaster,3790f3ecc1fbd0195fc8ff45ad1c8f3efa50c6a2,${file.jarVersion},Tl8ESrhX,torchmaster,TorchMaster,true,20.1.9,OTbqpyC8,https://cdn.modrinth.com/data/Tl8ESrhX/versions/OTbqpyC8/torchmaster-20.1.9.jar
,Trash Cans,trashcans-1.0.18-forge-mc1.18.jar,"[38,)",,trashcans,631880798fe6983a3d03bf28eb554ec893264df1,1.0.18,4QrnfueM,trash-cans,Trash Cans,true,1.0.18b-forge-mc1.20,Q0Ym1HHm,https://cdn.modrinth.com/data/4QrnfueM/versions/Q0Ym1HHm/trashcans-1.0.18b-forge-mc1.20.jar
,TrashSlot,trashslot-forge-1.18.2-11.0.3.jar,"[38,)",,trashslot,97eafc1921165f2f2f992c47df7b049db77f760c,${file.jarVersion},vRYk0bv7,trashslot,TrashSlot,true,15.1.5+forge-1.20.1,r0K8IYd7,https://cdn.modrinth.com/data/vRYk0bv7/versions/r0K8IYd7/trashslot-forge-1.20.1-15.1.5.jar
,Waystones,waystones-forge-1.18.2-10.2.1.jar,"[40,)",,waystones,05500866189bc9b66b54859302adc4936fc74359,${file.jarVersion},,,,false,,,
,XNet,xnet-1.18-4.0.9.jar,"[39,)",,xnet,5d6d9cbc2991fbc688e68277867ff373f525fbd5,${file.jarVersion},,,,false,,,
